source,route,name,size,stroke,profile,inkCells,facesPre,facesPreLargest,regions,pathCells,segments,coverage,bendRate,dagDepth,failure
"lucide","line-art","croissant",40,3,"default",433,5,187,1,432,19,1,0.4069767441860465,8,""
"lucide","line-art","croissant",40,3,"authored",433,5,187,3,416,26,1,0.4292682926829268,6,""
"lucide","line-art","croissant",40,4,"default",575,5,156,3,300,24,1,0.46598639455782315,6,""
"lucide","line-art","croissant",40,4,"authored",575,5,156,3,300,24,1,0.46598639455782315,6,""
"lucide","line-art","croissant",40,6,"default",819,3,106,3,172,17,1,0.4879518072289157,3,""
"lucide","line-art","croissant",40,6,"authored",819,3,106,3,172,17,1,0.4879518072289157,3,""
"lucide","line-art","croissant",60,2,"default",463,5,534,3,1204,78,1,0.41235392320534225,14,""
"lucide","line-art","croissant",60,2,"authored",463,5,534,3,1180,77,1,0.4028960817717206,9,""
"lucide","line-art","croissant",60,3,"default",671,5,481,3,1068,73,1,0.416195856873823,10,""
"lucide","line-art","croissant",60,3,"authored",671,5,481,5,1028,61,1,0.41453831041257366,6,""
"lucide","line-art","croissant",60,4,"default",900,5,441,5,924,68,1,0.42778993435448576,9,""
"lucide","line-art","croissant",60,4,"authored",900,5,441,5,924,68,1,0.42778993435448576,9,""
"lucide","line-art","croissant",60,6,"default",1305,5,352,3,596,36,1,0.4135593220338983,5,""
"lucide","line-art","croissant",60,6,"authored",1305,5,352,3,596,36,1,0.4135593220338983,5,""
"lucide","line-art","croissant",78,2,"default",596,5,934,1,2176,135,1,0.4043238270469181,17,""
"lucide","line-art","croissant",78,2,"authored",596,5,934,1,2144,155,1,0.4066293183940243,13,""
"lucide","line-art","croissant",78,3,"default",904,5,874,3,2000,147,1,0.4102306920762287,17,""
"lucide","line-art","croissant",78,3,"authored",904,5,874,3,1936,138,1,0.41243523316062175,17,""
"lucide","line-art","croissant",78,4,"default",1175,5,814,5,1684,89,1,0.41397849462365593,13,""
"lucide","line-art","croissant",78,4,"authored",1175,5,814,5,1684,89,1,0.41397849462365593,13,""
"lucide","line-art","croissant",78,6,"default",1715,5,692,5,1404,103,1,0.4218077474892396,11,""
"lucide","line-art","croissant",78,6,"authored",1715,5,692,5,1404,103,1,0.4218077474892396,11,""
"lucide","line-art","croissant",100,2,"default",787,5,1587,3,3516,227,1,0.40541310541310543,21,""
"lucide","line-art","croissant",100,2,"authored",787,5,1587,3,3484,224,1,0.40281771132834965,21,""
"lucide","line-art","croissant",100,3,"default",1143,5,1503,3,3368,222,1,0.4033313503866746,27,""
"lucide","line-art","croissant",100,3,"authored",1143,5,1503,5,3264,198,1,0.3945912722802704,17,""
"lucide","line-art","croissant",100,4,"default",1530,5,1432,5,3144,211,1,0.40108487555839184,18,""
"lucide","line-art","croissant",100,4,"authored",1530,5,1432,5,3144,211,1,0.40108487555839184,18,""
"lucide","line-art","croissant",100,6,"default",2265,5,1267,5,2536,158,1,0.4105304829770388,14,""
"lucide","line-art","croissant",100,6,"authored",2265,5,1267,5,2536,158,1,0.4105304829770388,14,""
