name,frame,angle,dilation,regions,pathCells,fill,segments,failure
bike,portrait-60x100,135,1,2,256,0.0427,17,""
bike,portrait-60x100,135,2,3,212,0.0353,14,""
bike,portrait-60x100,150,1,2,284,0.0473,13,""
bike,portrait-60x100,150,2,4,204,0.0340,17,""
bike,portrait-60x100,165,1,2,312,0.0520,23,""
bike,portrait-60x100,165,2,2,216,0.0360,14,""
bike,portrait-52x92,0,1,2,344,0.0719,24,""
bike,portrait-52x92,0,2,2,224,0.0468,14,""
bike,portrait-52x92,15,1,2,224,0.0468,12,""
bike,portrait-52x92,15,2,2,132,0.0276,9,""
bike,portrait-52x92,30,1,2,184,0.0385,12,""
bike,portrait-52x92,30,2,3,116,0.0242,7,""
bike,portrait-52x92,45,1,2,176,0.0368,14,""
bike,portrait-52x92,45,2,2,96,0.0201,9,""
bike,portrait-52x92,60,1,2,212,0.0443,15,""
bike,portrait-52x92,60,2,3,124,0.0259,7,""
bike,portrait-52x92,75,1,2,288,0.0602,23,""
bike,portrait-52x92,75,2,2,168,0.0351,13,""
bike,portrait-52x92,90,1,2,496,0.1037,30,""
bike,portrait-52x92,90,2,2,336,0.0702,25,""
bike,portrait-52x92,105,1,2,288,0.0602,18,""
bike,portrait-52x92,105,2,2,172,0.0360,12,""
bike,portrait-52x92,120,1,2,212,0.0443,11,""
bike,portrait-52x92,120,2,2,112,0.0234,9,""
bike,portrait-52x92,135,1,2,176,0.0368,7,""
bike,portrait-52x92,135,2,2,96,0.0201,8,""
bike,portrait-52x92,150,1,2,184,0.0385,12,""
bike,portrait-52x92,150,2,3,116,0.0242,11,""
bike,portrait-52x92,165,1,2,224,0.0468,12,""
bike,portrait-52x92,165,2,2,136,0.0284,7,""
bird,square-78,0,1,2,1748,0.2873,113,""
bird,square-78,0,2,2,1424,0.2341,89,""
bird,square-78,15,1,2,1144,0.1880,71,""
bird,square-78,15,2,2,884,0.1453,75,""
bird,square-78,30,1,2,940,0.1545,56,""
bird,square-78,30,2,2,692,0.1137,47,""
bird,square-78,45,1,2,868,0.1427,55,""
bird,square-78,45,2,2,644,0.1059,38,""
bird,square-78,60,1,2,952,0.1565,58,""
bird,square-78,60,2,2,712,0.1170,53,""
bird,square-78,75,1,2,1140,0.1874,78,""
bird,square-78,75,2,2,900,0.1479,65,""
bird,square-78,90,1,2,1748,0.2873,126,""
bird,square-78,90,2,2,1424,0.2341,86,""
bird,square-78,105,1,2,1144,0.1880,64,""
bird,square-78,105,2,2,884,0.1453,62,""
bird,square-78,120,1,2,940,0.1545,63,""
bird,square-78,120,2,2,692,0.1137,45,""
bird,square-78,135,1,2,868,0.1427,58,""
bird,square-78,135,2,2,644,0.1059,42,""
bird,square-78,150,1,2,952,0.1565,53,""
bird,square-78,150,2,2,712,0.1170,52,""
bird,square-78,165,1,2,1140,0.1874,80,""
bird,square-78,165,2,2,900,0.1479,57,""
bird,square-60,0,1,2,960,0.2667,61,""
bird,square-60,0,2,2,712,0.1978,46,""
bird,square-60,15,1,2,652,0.1811,48,""
bird,square-60,15,2,2,404,0.1122,23,""
bird,square-60,30,1,2,492,0.1367,27,""
bird,square-60,30,2,2,276,0.0767,18,""
bird,square-60,45,1,2,468,0.1300,27,""
bird,square-60,45,2,2,300,0.0833,24,""
bird,square-60,60,1,2,512,0.1422,34,""
bird,square-60,60,2,2,280,0.0778,18,""
bird,square-60,75,1,2,616,0.1711,35,""
bird,square-60,75,2,2,432,0.1200,23,""
bird,square-60,90,1,2,960,0.2667,64,""
bird,square-60,90,2,2,712,0.1978,50,""
bird,square-60,105,1,2,652,0.1811,47,""
bird,square-60,105,2,2,404,0.1122,30,""
bird,square-60,120,1,2,492,0.1367,31,""
bird,square-60,120,2,2,276,0.0767,14,""
bird,square-60,135,1,2,468,0.1300,30,""
bird,square-60,135,2,2,300,0.0833,22,""
bird,square-60,150,1,2,512,0.1422,34,""
bird,square-60,150,2,2,280,0.0778,21,""
bird,square-60,165,1,2,616,0.1711,44,""
bird,square-60,165,2,2,432,0.1200,36,""
bird,portrait-72x120,0,1,2,1452,0.1681,86,""
bird,portrait-72x120,0,2,2,1128,0.1306,62,""
bird,portrait-72x120,15,1,2,988,0.1144,72,""
bird,portrait-72x120,15,2,2,708,0.0819,59,""
bird,portrait-72x120,30,1,2,784,0.0907,69,""
bird,portrait-72x120,30,2,2,560,0.0648,30,""
bird,portrait-72x120,45,1,2,732,0.0847,51,""
bird,portrait-72x120,45,2,2,532,0.0616,36,""
bird,portrait-72x120,60,1,2,832,0.0963,67,""
bird,portrait-72x120,60,2,2,616,0.0713,28,""
bird,portrait-72x120,75,1,2,1124,0.1301,73,""
bird,portrait-72x120,75,2,2,852,0.0986,59,""
bird,portrait-72x120,90,1,2,1852,0.2144,134,""
bird,portrait-72x120,90,2,2,1484,0.1718,79,""
bird,portrait-72x120,105,1,2,1128,0.1306,83,""
bird,portrait-72x120,105,2,2,852,0.0986,59,""
bird,portrait-72x120,120,1,2,844,0.0977,57,""
bird,portrait-72x120,120,2,2,604,0.0699,32,""
bird,portrait-72x120,135,1,2,732,0.0847,54,""
bird,portrait-72x120,135,2,2,532,0.0616,38,""
bird,portrait-72x120,150,1,2,784,0.0907,49,""
bird,portrait-72x120,150,2,2,580,0.0671,39,""
bird,portrait-72x120,165,1,2,976,0.1130,79,""
bird,portrait-72x120,165,2,2,704,0.0815,50,""
bird,portrait-60x100,0,1,2,960,0.1600,61,""
bird,portrait-60x100,0,2,2,712,0.1187,46,""
bird,portrait-60x100,15,1,2,652,0.1087,48,""
bird,portrait-60x100,15,2,2,404,0.0673,23,""
bird,portrait-60x100,30,1,2,492,0.0820,27,""
bird,portrait-60x100,30,2,2,276,0.0460,18,""
bird,portrait-60x100,45,1,2,468,0.0780,27,""
bird,portrait-60x100,45,2,2,300,0.0500,24,""
bird,portrait-60x100,60,1,2,552,0.0920,35,""
bird,portrait-60x100,60,2,2,340,0.0567,25,""
bird,portrait-60x100,75,1,2,736,0.1227,49,""
bird,portrait-60x100,75,2,2,488,0.0813,44,""
bird,portrait-60x100,90,1,2,1216,0.2027,74,""
bird,portrait-60x100,90,2,2,932,0.1553,70,""
bird,portrait-60x100,105,1,2,728,0.1213,68,""
bird,portrait-60x100,105,2,2,524,0.0873,36,""
bird,portrait-60x100,120,1,2,532,0.0887,33,""
bird,portrait-60x100,120,2,2,308,0.0513,17,""
bird,portrait-60x100,135,1,2,468,0.0780,30,""
bird,portrait-60x100,135,2,2,300,0.0500,22,""
bird,portrait-60x100,150,1,2,512,0.0853,34,""
bird,portrait-60x100,150,2,2,280,0.0467,21,""
bird,portrait-60x100,165,1,2,616,0.1027,44,""
bird,portrait-60x100,165,2,2,432,0.0720,36,""
bird,portrait-52x92,0,1,2,684,0.1430,49,""
bird,portrait-52x92,0,2,2,472,0.0987,20,""
bird,portrait-52x92,15,1,2,444,0.0928,27,""
bird,portrait-52x92,15,2,2,236,0.0493,13,""
bird,portrait-52x92,30,1,2,320,0.0669,18,""
bird,portrait-52x92,30,2,2,140,0.0293,8,""
bird,portrait-52x92,45,1,2,336,0.0702,20,""
bird,portrait-52x92,45,2,2,148,0.0309,12,""
bird,portrait-52x92,60,1,2,364,0.0761,37,""
bird,portrait-52x92,60,2,2,160,0.0334,9,""
bird,portrait-52x92,75,1,2,504,0.1054,29,""
bird,portrait-52x92,75,2,2,336,0.0702,23,""
bird,portrait-52x92,90,1,2,900,0.1881,57,""
bird,portrait-52x92,90,2,2,648,0.1355,45,""
bird,portrait-52x92,105,1,2,504,0.1054,29,""
bird,portrait-52x92,105,2,2,292,0.0610,17,""
bird,portrait-52x92,120,1,2,384,0.0803,21,""
bird,portrait-52x92,120,2,2,148,0.0309,11,""
bird,portrait-52x92,135,1,2,336,0.0702,16,""
bird,portrait-52x92,135,2,2,148,0.0309,12,""
bird,portrait-52x92,150,1,2,360,0.0753,24,""
bird,portrait-52x92,150,2,2,208,0.0435,10,""
bird,portrait-52x92,165,1,2,456,0.0953,25,""
bird,portrait-52x92,165,2,2,248,0.0518,22,""
car,square-78,0,1,3,2096,0.3445,141,""
car,square-78,0,2,3,1768,0.2906,168,""
car,square-78,15,1,3,1636,0.2689,125,""
car,square-78,15,2,3,1328,0.2183,84,""
car,square-78,30,1,3,1492,0.2452,96,""
car,square-78,30,2,3,1184,0.1946,70,""
car,square-78,45,1,3,1604,0.2636,110,""
car,square-78,45,2,3,1336,0.2196,92,""
car,square-78,60,1,3,1484,0.2439,89,""
car,square-78,60,2,3,1204,0.1979,71,""
car,square-78,75,1,3,1656,0.2722,111,""
car,square-78,75,2,3,1348,0.2216,89,""
car,square-78,90,1,3,2096,0.3445,146,""
car,square-78,90,2,3,1768,0.2906,119,""
car,square-78,105,1,3,1636,0.2689,130,""
car,square-78,105,2,3,1328,0.2183,86,""
car,square-78,120,1,3,1492,0.2452,111,""
car,square-78,120,2,3,1184,0.1946,72,""
car,square-78,135,1,3,1604,0.2636,117,""
car,square-78,135,2,3,1336,0.2196,106,""
car,square-78,150,1,3,1484,0.2439,105,""
car,square-78,150,2,3,1204,0.1979,100,""
car,square-78,165,1,3,1656,0.2722,96,""
car,square-78,165,2,3,1348,0.2216,109,""
car,square-60,0,1,3,1164,0.3233,75,""
car,square-60,0,2,3,948,0.2633,70,""
car,square-60,15,1,3,892,0.2478,53,""
car,square-60,15,2,1,644,0.1789,48,""
car,square-60,30,1,3,816,0.2267,52,""
car,square-60,30,2,1,584,0.1622,37,""
car,square-60,45,1,3,880,0.2444,61,""
car,square-60,45,2,1,580,0.1611,41,""
car,square-60,60,1,3,812,0.2256,58,""
car,square-60,60,2,1,600,0.1667,38,""
car,square-60,75,1,3,900,0.2500,68,""
car,square-60,75,2,1,652,0.1811,46,""
car,square-60,90,1,3,1164,0.3233,76,""
car,square-60,90,2,3,948,0.2633,71,""
car,square-60,105,1,3,892,0.2478,59,""
car,square-60,105,2,1,644,0.1789,42,""
car,square-60,120,1,3,816,0.2267,60,""
car,square-60,120,2,1,584,0.1622,34,""
car,square-60,135,1,3,880,0.2444,62,""
car,square-60,135,2,1,580,0.1611,33,""
car,square-60,150,1,3,812,0.2256,43,""
car,square-60,150,2,1,600,0.1667,44,""
